run_id,question_id,mode,category,question,session_id,http_status,request_success,validated_success,validation_status,assertion_type,assertion_detail,failure_type,error_detail,client_request_latency_ms,server_handler_latency_ms,app_startup_latency_ms,sql_execution_latency_ms,final_llm_response,response_text,sql_query,query_results,sql_execution_success,sql_execution_error,model_name,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
20260417_211633,q001,mcp,shootings,Give me US shootings in Louisiana from the year 2014.,100001,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,22884.267,22854.091,3101.32,,"IncidentID,Address,IncidentDate,State,CityOrCountry,VictimsKilled,VictimsInjured,SuspectsInjured,SuspectsKilled,SuspectsArrested
95500,3600 block of Highway 80 W,2014-01-12,louisiana,Tallulah,0,6,0,0,8","IncidentID,Address,IncidentDate,State,CityOrCountry,VictimsKilled,VictimsInjured,SuspectsInjured,SuspectsKilled,SuspectsArrested
95500,3600 block of Highway 80 W,2014-01-12,louisiana,Tallulah,0,6,0,0,8",,,,,gpt-5-mini,16620,1132,17752,
20260417_211633,q002,mcp,unemployment,Give me the unemployment rate for Georgia in 2023.,100002,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,8309.513,8297.987,3101.32,,"State,Rate_2022,Rate_2023,Rate_Change,State_Rank
Georgia,3.2,3.3,0.1,35","State,Rate_2022,Rate_2023,Rate_Change,State_Rank
Georgia,3.2,3.3,0.1,35",,,,,gpt-5-mini,16513,192,16705,
20260417_211633,q003,mcp,unemployment,How does the unemployment rate in Hawaii compare to Indiana in 2023?,100003,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,10126.578,10119.597,3101.32,,"State,Rate_2022,Rate_2023,Rate_Change,State_Rank
Hawaii,3.3,2.9,-0.4,6
Indiana,3.1,3.4,0.3,44","State,Rate_2022,Rate_2023,Rate_Change,State_Rank
Hawaii,3.3,2.9,-0.4,6
Indiana,3.1,3.4,0.3,44",,,,,gpt-5-mini,16541,285,16826,
20260417_211633,q004,mcp,unemployment,What were the five states with the lowest unemployment rates in 2022?,100004,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,7844.032,7834.855,3101.32,,"State,Rate_2022
South Dakota,1.9
North Dakota,2.1
Nebraska,2.2
New Hampshire,2.4
Utah,2.4","State,Rate_2022
South Dakota,1.9
North Dakota,2.1
Nebraska,2.2
New Hampshire,2.4
Utah,2.4",,,,,gpt-5-mini,16606,152,16758,
20260417_211633,q005,mcp,ngo,Give me the full name and full address of the NGO with EIN 100006500.,100005,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,12220.271,12213.579,3101.32,,"Ein,Name,Fulladdr,City,State,Zip,County,Ntee_Code,Category,Is_Category_Llm_Generated
100006500,Lebanon Volunteer Fire Department,PO BOX 51,LEBANON,CT,06249-0051,Lebanon,CT,6249.0,Southeastern Connecticut Planning Region,M24,Public Safety, Disaster Preparedness & Relief,None","Ein,Name,Fulladdr,City,State,Zip,County,Ntee_Code,Category,Is_Category_Llm_Generated
100006500,Lebanon Volunteer Fire Department,PO BOX 51,LEBANON,CT,06249-0051,Lebanon,CT,6249.0,Southeastern Connecticut Planning Region,M24,Public Safety, Disaster Preparedness & Relief,None",,,,,gpt-5-mini,16575,503,17078,
20260417_211633,q006,mcp,ngo,Give me NGOs in Albany County.,100006,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,14160.55,14146.285,3101.32,,"Ein,Name,City,State,County,Ntee_Code,Category
222719837,100 South Swan Street Realty Corp,Albany,NY,Albany County,S47,Community Improvement, Capacity Building
352433476,105Th Military Police Company Alumni Association Troy New York,Latham,NY,Albany County,W30,Public & Societal Benefit
100004869,195 Fort Edward Inc,Albany,NY,Albany County,S47,Community Improvement, Capacity Building
352381188,2-1-1 New York Inc,Latham,NY,Albany County,E70,Health Care
141760872,222 Riverside Plaza Corp,Albany,NY,Albany County,C99,Environment
141800103,360 Whitehall Housing Development Fund Corp,Albany,NY,Albany County,H50,Medical Research
261878508,4 Wheeling For Healing Inc,Altamont,NY,Albany County,P30,Human Services
141821567,4-H Club And Affiliated 4-H Organization,Feura Bush,NY,Albany County,Z99,Unknown
223242233,4325 S Salina Street Realty Corp,Glenmont,NY,Albany County,S47,Community Improvement, Capacity Building
141823014,518 Elevated Inc,Albany,NY,Albany County,B82,Education","Ein,Name,City,State,County,Ntee_Code,Category
222719837,100 South Swan Street Realty Corp,Albany,NY,Albany County,S47,Community Improvement, Capacity Building
352433476,105Th Military Police Company Alumni Association Troy New York,Latham,NY,Albany County,W30,Public & Societal Benefit
100004869,195 Fort Edward Inc,Albany,NY,Albany County,S47,Community Improvement, Capacity Building
352381188,2-1-1 New York Inc,Latham,NY,Albany County,E70,Health Care
141760872,222 Riverside Plaza Corp,Albany,NY,Albany County,C99,Environment
141800103,360 Whitehall Housing Development Fund Corp,Albany,NY,Albany County,H50,Medical Research
261878508,4 Wheeling For Healing Inc,Altamont,NY,Albany County,P30,Human Services
141821567,4-H Club And Affiliated 4-H Organization,Feura Bush,NY,Albany County,Z99,Unknown
223242233,4325 S Salina Street Realty Corp,Glenmont,NY,Albany County,S47,Community Improvement, Capacity Building
141823014,518 Elevated Inc,Albany,NY,Albany County,B82,Education",,,,,gpt-5-mini,16750,575,17325,
20260417_211633,q007,mcp,ngo,Which states have the most religion-related NGOs?,100007,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,23387.952,23370.795,3101.32,,"State,religion_ngos
NY,25886
CA,19616
PA,16541
OH,16482
TX,10886
NJ,10203
IN,9866
FL,9560
IL,6497
GA,5641","State,religion_ngos
NY,25886
CA,19616
PA,16541
OH,16482
TX,10886
NJ,10203
IN,9866
FL,9560
IL,6497
GA,5641",,,,,gpt-5-mini,24905,953,25858,
20260417_211633,q008,mcp,faa,Look up FAA registration N100 in the master registry.,100008,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,11481.772,11476.691,3101.32,,"n_number,serial_number,mfr_mdl_code,eng_mfr_mdl,year_mfr,owner_type,registrant_name,street,street2,city,state,zip_code,region,county,country,last_action_date,cert_issue_date,certification,airworthiness_classification,approved_operations,type_aircraft,type_engine,status_code,mode_s_code,fract_owner,air_worth_date,other_names1,other_names2,other_names3,other_names4,other_names5,expiration_date,unique_id,kit_mfr,kit_model,mode_s_code_hex
N100,5334,7100510,17003,1940,Individual,BENE MARY D,PO BOX 329,None,KETCHUM,OK,743490329,Southwestern,97,US,2023-01-22,2005-05-06,1,Standard,None,Fixed wing single engine,Reciprocating,Valid Registration,50002263,None,1954-04-30,None,None,None,None,None,2027-04-30,600060,None,None,A004B3","n_number,serial_number,mfr_mdl_code,eng_mfr_mdl,year_mfr,owner_type,registrant_name,street,street2,city,state,zip_code,region,county,country,last_action_date,cert_issue_date,certification,airworthiness_classification,approved_operations,type_aircraft,type_engine,status_code,mode_s_code,fract_owner,air_worth_date,other_names1,other_names2,other_names3,other_names4,other_names5,expiration_date,unique_id,kit_mfr,kit_model,mode_s_code_hex
N100,5334,7100510,17003,1940,Individual,BENE MARY D,PO BOX 329,None,KETCHUM,OK,743490329,Southwestern,97,US,2023-01-22,2005-05-06,1,Standard,None,Fixed wing single engine,Reciprocating,Valid Registration,50002263,None,1954-04-30,None,None,None,None,None,2027-04-30,600060,None,None,A004B3",,,,,gpt-5-mini,16717,467,17184,
20260417_211633,q009,mcp,shootings,Show 5 shooting incidents in Texas ordered by most recent date.,100009,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,15930.664,15918.495,3101.32,,"I queried the shootings table for Texas and found no rows (""No rows found."").

Would you like me to:
- Show the 5 most recent shootings nationwide instead?
- Try a different state?
- List which states are present in the shootings table?","I queried the shootings table for Texas and found no rows (""No rows found."").

Would you like me to:
- Show the 5 most recent shootings nationwide instead?
- Try a different state?
- List which states are present in the shootings table?",,,,,gpt-5-mini,24826,653,25479,
20260417_211633,q010,mcp,unemployment,Which state had the highest unemployment rate in 2023?,100010,200,True,,validation_disabled,,Validation was disabled for this profiling run.,none,,5604.637,5597.793,3101.32,,Nevada had the highest unemployment rate in 2023 at 5.2%.,Nevada had the highest unemployment rate in 2023 at 5.2%.,,,,,gpt-5-mini,16532,128,16660,
